NR_TRABALHO;Total_Horas;vinculo_atividade_planejamento;DEPE_atividade_planejamento;descricao_atividade_planejamento;tipo_atividade_planejamento;DT_INC_atividade_planejamento;DT_FIM_atividade_planejamento;horas_destinadas_trabalho
49320;2686;49823;8454;Comunicação de Resultados;Processo Corporativo;02DEC2024;04FEB2025;420
49320;2686;49812;8454;Pré-auditoria;Processo Corporativo;26FEB2024;07/jun/24;750
49320;2686;49822;8454;Execução;Processo Corporativo;10/jun/24;29/nov/24;1250
49320;2686;49824;8454;Supervisão;Processo Corporativo;26FEB2024;04FEB2025;266
49349;3010;49469;9647;Execução;Processo Corporativo;04/nov/24;27DEC2024;30
49349;3010;49468;9647;Pré-auditoria;Processo Corporativo;23SEP2024;01/nov/24;10
49349;3010;49352;9889;Execução;Processo Corporativo;04/nov/24;27DEC2024;1179
49349;3010;49353;9889;Comunicação de Resultados;Processo Corporativo;30DEC2024;17/jan/25;590
49349;3010;49351;9889;Pré-auditoria;Processo Corporativo;23SEP2024;01/nov/24;931
49349;3010;49354;9889;Supervisão;Processo Corporativo;23SEP2024;17/jan/25;270
49374;1320;49375;9889;Pré-auditoria;Processo Corporativo;16DEC2024;10/jan/25;332
49374;1320;49376;9889;Execução;Processo Corporativo;13/jan/25;28FEB2025;646
49374;1320;49377;9889;Comunicação de Resultados;Processo Corporativo;05/mar/25;21/mar/25;222
49374;1320;49378;9889;Supervisão;Processo Corporativo;16DEC2024;21/mar/25;120
49411;2494;50149;9610;Execução;Processo Corporativo;06DEC2024;03FEB2025;480
49411;2494;50150;9610;Comunicação de Resultados;Processo Corporativo;04FEB2025;28FEB2025;228
49411;2494;50147;9610;Pré-auditoria;Processo Corporativo;17OCT2024;05DEC2024;420
49411;2494;50151;9610;Supervisão;Processo Corporativo;17OCT2024;28FEB2025;125
49411;2494;49413;9889;Execução;Processo Corporativo;06DEC2024;03FEB2025;480
49411;2494;49414;9889;Comunicação de Resultados;Processo Corporativo;04FEB2025;28FEB2025;228
49411;2494;49412;9889;Pré-auditoria;Processo Corporativo;17OCT2024;05DEC2024;420
49411;2494;49415;9889;Supervisão;Processo Corporativo;17OCT2024;28FEB2025;113
49487;2960;51619;9825;Comunicação de Resultados;Processo Corporativo;16DEC2024;08/jan/25;40
49487;2960;51617;9825;Pré-auditoria;Processo Corporativo;02SEP2024;04OCT2024;200
49487;2960;51618;9825;Execução;Processo Corporativo;07OCT2024;13DEC2024;400
49487;2960;49493;9875;Comunicação de Resultados;Processo Corporativo;16DEC2024;08/jan/25;350
49487;2960;51616;9875;Análise de Dados;Processo Corporativo;02SEP2024;13DEC2024;350
49487;2960;49491;9875;Pré-auditoria;Processo Corporativo;02SEP2024;04OCT2024;400
49487;2960;49492;9875;Execução;Processo Corporativo;07OCT2024;13DEC2024;1000
49487;2960;49494;9875;Supervisão;Processo Corporativo;02SEP2024;20DEC2024;220
49676;1654;50254;8888;Comunicação de Resultados;Processo Corporativo;10DEC2024;10/jan/25;100
49676;1654;50250;8888;Pré-auditoria;Processo Corporativo;16SEP2024;04OCT2024;200
49676;1654;50252;8888;Execução;Processo Corporativo;07OCT2024;09DEC2024;600
49676;1654;50256;8888;Supervisão;Processo Corporativo;16SEP2024;10/jan/25;63
49676;1654;50255;9604;Comunicação de Resultados;Processo Corporativo;10DEC2024;10/jan/25;100
49676;1654;50251;9604;Pré-auditoria;Processo Corporativo;16SEP2024;04OCT2024;90
49676;1654;50253;9604;Execução;Processo Corporativo;07OCT2024;09DEC2024;438
49676;1654;50257;9604;Supervisão;Processo Corporativo;16SEP2024;10/jan/25;63
49691;1750;51133;8888;Pré-auditoria;Processo Corporativo;21OCT2024;22/nov/24;400
49691;1750;51135;8888;Execução;Processo Corporativo;25/nov/24;07FEB2025;900
49691;1750;51136;8888;Comunicação de Resultados;Processo Corporativo;10FEB2025;14/mar/25;300
49691;1750;51137;8888;Supervisão;Processo Corporativo;21OCT2024;14/mar/25;150
49745;1940;51129;8888;Execução;Processo Corporativo;21OCT2024;24/jan/25;900
49745;1940;51130;8888;Comunicação de Resultados;Processo Corporativo;27/jan/25;14FEB2025;300
49745;1940;51128;8888;Pré-auditoria;Processo Corporativo;30SEP2024;18OCT2024;300
49745;1940;51131;8888;Supervisão;Processo Corporativo;30SEP2024;14FEB2025;150
49745;1940;54076;9825;Pré-auditoria;Processo Corporativo;30SEP2024;18OCT2024;60
49745;1940;54077;9825;Execução;Processo Corporativo;21OCT2024;24/jan/25;200
49745;1940;54078;9825;Supervisão;Processo Corporativo;30SEP2024;14FEB2025;30
49797;4579;49820;8888;Comunicação de Resultados;Processo Corporativo;09DEC2024;17/jan/25;120
49797;4579;49815;8888;Pré-auditoria;Processo Corporativo;12AUG2024;30AUG2024;165
